"COVID.19.Deaths","End.Date"
5,"1/4/2020"
6,"1/11/2020"
4,"1/18/2020"
3,"1/25/2020"
1,"2/1/2020"
2,"2/8/2020"
0,"2/15/2020"
5,"2/22/2020"
9,"2/29/2020"
35,"3/7/2020"
57,"3/14/2020"
575,"3/21/2020"
3175,"3/28/2020"
10067,"4/4/2020"
16233,"4/11/2020"
17104,"4/18/2020"
15477,"4/25/2020"
13178,"5/2/2020"
11207,"5/9/2020"
9195,"5/16/2020"
7209,"5/23/2020"
6145,"5/30/2020"
5026,"6/6/2020"
4217,"6/13/2020"
3826,"6/20/2020"
3814,"6/27/2020"
4523,"7/4/2020"
5751,"7/11/2020"
7160,"7/18/2020"
8190,"7/25/2020"
8268,"8/1/2020"
7824,"8/8/2020"
7216,"8/15/2020"
6343,"8/22/2020"
5693,"8/29/2020"
4975,"9/5/2020"
4585,"9/12/2020"
4227,"9/19/2020"
4222,"9/26/2020"
4142,"10/3/2020"
4654,"10/10/2020"
5015,"10/17/2020"
5794,"10/24/2020"
6765,"10/31/2020"
8335,"11/7/2020"
10177,"11/14/2020"
12856,"11/21/2020"
14987,"11/28/2020"
17802,"12/5/2020"
19853,"12/12/2020"
20905,"12/19/2020"
21493,"12/26/2020"
21384,"1/2/2021"
18584,"1/9/2021"
16122,"1/16/2021"
13610,"1/23/2021"
8909,"1/30/2021"
2528,"2/6/2021"
