data_files,data_source,known_missing,page,location,notes,provided,cited
cbo-2020-01-economicprojections.xlsx,CBO,,1,data/raw,,,
cbo-2020-07-economicprojections.xlsx,CBO,,1,data/raw,,,
covid19-death-counts.csv,CDC,,1,data/raw,,,
covid_by_age.csv,CDC,,1,data/raw,,,
covasim.csv,Covasim Research Paper,,1,data/raw,,,
covasim.pdf,Covasim Research Paper,,1,data/raw,,,
2019gender_table1.xlsx,American Community Survey 2019,,2,data/raw,,,
2019mentalhealth.pdf,"National Center for Health Statistics, National Health Interview Survey Early Release Program",,2,data/raw,,,
2019nchsmentalhealth.csv,"National Center for Health Statistics, National Health Interview Survey Early Release Program",,2,data/raw,,,
2020pulsementalhealth.csv,Household Pulse Survey,,2,data/raw,,,
covid_by_age_snapshot.pdf,CDC,,1,data/raw,,,
